C:\Users\Administrateur\Scanrestau\smartresto\src\app\api\webhooks\whatsapp\route.ts: line 39, col 62, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\client\loyalty\page.tsx: line 22, col 11, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\client\menu\ClientMenuContent.tsx: line 256, col 18, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\client\menu\[slug]\page.tsx: line 45, col 11, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\client\menu\page.tsx: line 44, col 17, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\client\order-tracker\page.tsx: line 259, col 11, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\manager\(dashboard)\layout.tsx: line 188, col 21, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\manager\(dashboard)\loyalty\page.tsx: line 743, col 28, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\manager\(dashboard)\loyalty\page.tsx: line 806, col 33, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\manager\(dashboard)\settings\page.tsx: line 372, col 43, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\super-admin\page.tsx: line 759, col 78, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\app\super-admin\page.tsx: line 926, col 65, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\client\CartFloat.tsx: line 191, col 15, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\client\ClientWelcomeScreen.tsx: line 146, col 13, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\client\PlateOptionsModal.tsx: line 34, col 13, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\manager\DirectOrderModal.tsx: line 198, col 23, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\manager\DirectOrderModal.tsx: line 283, col 23, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)
C:\Users\Administrateur\Scanrestau\smartresto\src\components\manager\MenuTable.tsx: line 119, col 27, Warning - Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element (@next/next/no-img-element)

18 problems
